City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,dazhou,31.2159,107.5009,25.58000000000004,91,87,1.75,CN,1722024781
222,tralee,52.2704,-9.7026,13.629999999999995,80,100,2.85,IE,1722024782
223,les cayes,18.2,-73.75,29.99000000000001,69,100,5.31,HT,1722024783
224,selfoss,63.9331,-20.9971,13.360000000000014,76,21,4.22,IS,1722024784
225,margaret river,-33.95,115.0667,12.900000000000034,68,22,3.18,AU,1722024785
226,port-gentil,-0.7193,8.7815,24.980000000000018,78,100,4.12,GA,1722024786
227,ola,59.5833,151.2833,12.439999999999998,57,4,4.18,RU,1722024787
228,gogrial,8.5332,28.1004,25.82000000000005,74,17,3.17,SS,1722024789
229,ribeira brava,32.65,-17.0667,25.400000000000034,84,0,1.83,PT,1722024790
230,colares,38.7992,-9.4469,22.55000000000001,82,20,8.75,PT,1722024791
231,saint-joseph,-21.3667,55.6167,20.210000000000036,77,5,2.3,RE,1722024792
232,pushkinskiye gory,57.0209,28.9103,18.950000000000045,78,54,1.63,RU,1722024793
233,port alfred,-33.5906,26.891,14.82000000000005,78,9,3.79,ZA,1722024794
234,renqiu,38.6989,116.0936,24.230000000000018,90,0,2.32,CN,1722024796
235,turinsk,58.0458,63.696,13.100000000000023,98,100,6.13,RU,1722024797
236,lautoka,-17.6167,177.4667,20.920000000000016,83,40,1.54,FJ,1722024648
237,ciudad melchor muzquiz,27.8833,-101.5167,32.700000000000045,36,10,3.43,MX,1722024799
238,ivanec,46.2231,16.12,19.58000000000004,61,100,1.51,HR,1722024800
239,atchison,39.563,-95.1216,33.51000000000005,62,5,4.3,US,1722024801
240,okha,53.5739,142.9478,14.879999999999995,92,14,3.01,RU,1722024802
241,kourou,5.1552,-52.6478,25.03000000000003,76,96,1.97,GF,1722024803
242,maintirano,-18.0667,44.0167,22.610000000000014,73,0,5.35,MG,1722024806
243,pisco,-13.7,-76.2167,18.03000000000003,72,0,5.14,PE,1722024807
244,puerto lempira,15.2667,-83.7667,30.350000000000023,67,59,5.72,HN,1722024808
245,puerto leguizamo,-0.1934,-74.7819,32.150000000000034,46,35,1.73,CO,1722024809
246,fort st. john,56.2499,-120.8529,18.939999999999998,67,100,4.72,CA,1722024810
247,constantia,44.1833,28.65,21.379999999999995,69,0,3.49,RO,1722024811
248,ancud,-41.8697,-73.8203,8.760000000000048,85,64,9.53,CL,1722024813
249,mata-utu,-13.2816,-176.1745,27.810000000000002,76,5,6.07,WF,1722024814
250,revda,56.801,59.9303,10.689999999999998,98,100,5.77,RU,1722024815
251,weno,7.4515,151.8468,24.970000000000027,88,100,1.54,FM,1722024816
252,new norfolk,-42.7826,147.0587,9.720000000000027,95,77,1.76,AU,1722024817
253,praia da vitoria,38.7333,-27.0667,24.860000000000014,92,54,5.0,PT,1722024818
254,sinabang,2.4803,96.3801,27.04000000000002,83,100,2.3,ID,1722024819
255,howrah,22.5892,88.3103,29.0,89,40,3.09,IN,1722024821
256,balotra,25.8333,72.2333,31.170000000000016,68,99,7.93,IN,1722024822
257,tromso,69.6496,18.957,18.010000000000048,72,0,1.54,NO,1722024823
258,peace river,56.2501,-117.286,16.170000000000016,77,100,5.14,CA,1722024824
259,udachny,66.4167,112.4,11.560000000000002,60,65,1.68,RU,1722024825
260,ibresi,55.2961,47.0394,12.629999999999995,68,100,2.78,RU,1722024826
261,uturoa,-16.7333,-151.4333,25.310000000000002,66,27,7.1,PF,1722024827
262,gadzhiyevo,69.2551,33.3362,17.470000000000027,70,8,1.54,RU,1722024830
263,arraial do cabo,-22.9661,-42.0278,23.920000000000016,73,0,3.6,BR,1722024831
264,san pedro pochutla,15.7333,-96.4667,33.170000000000016,48,63,4.51,MX,1722024832
265,mariinsk,56.2139,87.7472,19.510000000000048,85,34,2.69,RU,1722024834
266,south hedland,-20.4089,118.5983,10.960000000000036,30,0,4.12,AU,1722024837
267,carnarvon,-24.8667,113.6333,15.960000000000036,63,0,5.51,AU,1722024838
268,nyurba,63.2842,118.3319,12.04000000000002,93,60,1.33,RU,1722024839
269,kodinsk,58.6881,99.1844,15.910000000000025,94,8,0.96,RU,1722024840
270,aitape,-3.1374,142.3475,25.189999999999998,88,100,2.27,PG,1722024841
271,alice springs,-23.7,133.8833,7.75,93,38,2.06,AU,1722024842
272,broken hill,-31.95,141.4333,8.310000000000002,47,0,3.37,AU,1722024843
273,lauro de freitas,-12.8944,-38.3272,26.010000000000048,73,40,3.6,BR,1722024845
274,west island,-12.1568,96.8225,25.99000000000001,89,40,3.6,CC,1722024846
275,haiku-pauwela,20.9219,-156.3051,27.360000000000014,72,20,7.72,US,1722024847
276,yarmouth,41.7057,-70.2286,27.560000000000002,58,0,3.09,US,1722024848
277,horta,38.5333,-28.6333,24.80000000000001,91,40,6.17,PT,1722024849
278,lyantor,61.6195,72.1555,14.78000000000003,77,100,5.26,RU,1722024850
279,meadow lake,34.8014,-106.5436,33.370000000000005,31,59,3.97,US,1722024851
280,cockburn town,21.4612,-71.1419,28.75,85,100,7.35,TC,1722024852
281,trujillo,-8.116,-79.03,18.980000000000018,72,0,4.63,PE,1722024828
282,hadibu,12.65,54.0333,25.890000000000043,78,100,9.34,YE,1722024855
283,karangampel,-6.4622,108.4519,24.33000000000004,75,7,3.41,ID,1722024856
284,kristiansund,63.1115,7.732,14.360000000000014,93,100,1.03,NO,1722024857
285,lucapa,-8.4192,20.7447,21.52000000000004,13,1,1.67,AO,1722024858
286,georgetown,5.4112,100.3354,28.960000000000036,79,20,0.0,MY,1722024860
287,alotau,-10.3069,150.4462,21.840000000000032,90,100,1.77,PG,1722024861
288,alofi,-19.0595,-169.9187,22.939999999999998,88,100,3.6,NU,1722024862
289,ar ruways,24.1103,52.7306,35.35000000000002,36,7,2.1,AE,1722024863
290,lubango,-14.9172,13.4925,14.900000000000034,47,0,1.01,AO,1722024864
291,bulolo,-7.2,146.65,21.470000000000027,98,99,0.88,PG,1722024865
292,callao,-12.0667,-77.15,23.010000000000048,77,100,4.63,PE,1722024680
293,markala,13.7021,-6.0659,28.860000000000014,71,98,4.6,ML,1722024868
294,vadso,70.0744,29.7487,24.49000000000001,77,0,4.12,NO,1722024870
295,cartagena,10.3997,-75.5144,25.79000000000002,94,75,2.57,CO,1722024871
296,sompeta,18.9333,84.6,26.260000000000048,91,100,3.3,IN,1722024872
297,alappuzha,9.49,76.3264,27.05000000000001,88,100,6.39,IN,1722024873
298,tocopilla,-22.092,-70.1979,19.510000000000048,68,21,5.39,CL,1722024874
299,taroa,8.7058,171.2275,28.510000000000048,80,100,8.12,MH,1722024876
300,nuuk,64.1835,-51.7216,5.340000000000032,87,100,11.32,GL,1722024877
301,xiazhuang,34.9161,118.6389,25.77000000000004,98,100,4.66,CN,1722024878
302,kiunga,-6.1219,141.2906,22.950000000000045,100,100,0.78,PG,1722024879
303,steffisburg,46.7781,7.6325,22.07000000000005,68,29,0.45,CH,1722024880
304,gifford,27.6753,-80.4092,33.360000000000014,65,20,4.12,US,1722024881
305,nova sintra,14.8667,-24.7167,25.980000000000018,79,24,0.81,CV,1722024882
306,tofol,5.3248,163.0078,28.350000000000023,78,100,6.29,FM,1722024884
307,leh,34.1667,77.5833,17.090000000000032,33,3,3.71,IN,1722024885
308,katima mulilo,-17.5,24.2667,18.370000000000005,13,0,1.46,NA,1722024886
309,qamdo,31.1667,97.2333,8.57000000000005,91,100,1.69,CN,1722024887
310,ballina,-28.8667,153.5667,11.550000000000011,81,6,1.68,AU,1722024888
311,peniche,39.3558,-9.3811,21.27000000000004,94,29,6.85,PT,1722024889
312,bhabhua,25.05,83.6167,31.910000000000025,67,100,2.3,IN,1722024890
313,ambon,-3.6954,128.1814,26.04000000000002,95,20,1.03,ID,1722024891
314,whitehorse,60.7161,-135.0538,18.939999999999998,63,20,6.69,CA,1722024893
315,faya-largeau,17.9257,19.1043,37.18000000000001,27,23,4.01,TD,1722024894
316,quellon,-43.1167,-73.6167,8.640000000000043,81,43,7.53,CL,1722024895
317,polyarnyy,69.1989,33.4478,17.439999999999998,68,9,1.58,RU,1722024896
318,volodymyr-volynskyi,50.8525,24.3236,17.78000000000003,82,53,1.04,UA,1722024897
319,waingapu,-9.6567,120.2641,23.120000000000005,81,0,2.21,ID,1722024898
320,redencao,-4.2258,-38.7306,26.230000000000018,67,42,3.42,BR,1722024899
321,saint-denis,48.9167,2.3333,20.27000000000004,93,75,2.06,FR,1722024901
322,tommot,58.9564,126.2925,19.5,77,1,0.68,RU,1722024902
323,puerto baquerizo moreno,-0.9,-89.6,22.55000000000001,73,75,8.75,EC,1722024903
324,naracoorte,-36.9579,140.7383,7.800000000000011,97,100,2.66,AU,1722024904
325,trairi,-3.2778,-39.2689,26.090000000000032,73,63,6.09,BR,1722024647
326,flin flon,54.7682,-101.865,19.910000000000025,49,75,10.8,CA,1722024906
327,gonzaga,44.9498,10.8209,28.710000000000036,62,0,4.01,IT,1722024907
